sub,motion,mean_thickness,residual,residual_z,outlier_type,cluster
sub-0083,1.1886065,2.3418088235294117,-0.059162498090632454,-0.4599220228522303,normal,1.0
sub-0033,0.9152425,2.1867647058823527,-0.24373159862002103,-1.894739632167042,normal,2.0
sub-0148,0.53426194,2.49475,0.023105466350773263,0.17961906893641655,normal,0.0
sub-0262,0.5180873,2.412411764705883,-0.060979728927568644,-0.4740489530780769,normal,2.0
sub-0027,1.1403954,2.4237352941176473,0.017556879016975557,0.13648502975803078,normal,1.0
sub-0284,0.90249217,2.4221470588235294,-0.009726359252665073,-0.07561152701193045,normal,2.0
sub-0381,0.5181029,2.498205882352941,0.02481607361484084,0.19291712054996482,normal,2.0
sub-0269,1.6674222,2.111382352941176,-0.23787394641444903,-1.8492029604831586,normal,1.0
sub-0399,1.3174478,2.2189117647058825,-0.1681439089976946,-1.3071301796288723,normal,1.0
sub-0325,0.77124214,2.3829999999999996,-0.06304922355553844,-0.490136951156177,normal,0.0
sub-0293,0.34232134,2.4526911764705885,-0.039684115176852774,-0.30849945685658714,normal,2.0
sub-0222,1.4378903,2.504911764705883,0.13086461718280118,1.0173255254079074,normal,1.0
sub-0250,0.3983192,2.5877647058823534,0.10143752539053974,0.7885629136090974,normal,0.0
sub-0086,0.5291374,2.4987794117647057,0.02658139647276192,0.2066405244968124,normal,0.0
sub-0211,0.64412755,2.5840735294117643,0.12429515317392603,0.9662553158405534,normal,0.0
sub-0370,0.90231824,2.6198823529411763,0.18799014936186964,1.4614124244441644,normal,0.0
sub-0356,0.70565337,2.310691176470588,-0.1424420351430813,-1.107326956374202,normal,2.0
sub-0113,0.7289948,2.384808823529412,-0.0658033709744732,-0.5115473562781725,normal,2.0
sub-0139,1.8211801,2.3919117647058825,0.059262258364417786,0.46069754701704096,normal,1.0
sub-0125,0.5310552,2.4900294117647057,0.01803853059492777,0.14022933020495235,normal,0.0
sub-0095,1.3215946,2.5294411764705877,0.14283338251348932,1.110369242958525,normal,0.0
sub-0329,1.9948624,2.4281176470588233,0.11422689071539605,0.8879858751309919,normal,1.0
sub-0232,0.4246995,2.5830294117647057,0.09955146491715672,0.7739009102093913,normal,0.0
sub-0001,0.52349895,2.3985882352941172,-0.07421876706171515,-0.5769676160112535,normal,2.0
sub-0096,2.1613653,2.5580882352941177,0.2621808098660936,2.0381615435157374,resistant,1.0
sub-0323,0.5698637,2.4358529411764707,-0.03194638478417655,-0.24834728733472033,normal,2.0
sub-0275,0.43347666,2.5255441176470583,0.04301415772813,0.33438680028859374,normal,0.0
sub-0346,0.5925662,2.6054411764705883,0.14009385927439455,1.0890725244216406,normal,0.0
sub-0177,0.49216312,2.466867647058823,-0.009323816470951929,-0.07248220866965127,normal,2.0
sub-0034,1.2698872,2.4889411764705884,0.09674866726243403,0.7521123041057275,normal,1.0
sub-0424,0.34690616,2.2968382352941177,-0.19504186776953603,-1.5162316207138968,normal,2.0
sub-0213,0.3772315,2.386705882352941,-0.1018988986331868,-0.7921495727579869,normal,2.0
sub-0145,0.4599844,2.542073529411765,0.06240656743605255,0.48514102109894186,normal,0.0
sub-0292,1.1380289,2.3668676470588235,-0.03956636450660245,-0.3075840775504129,normal,1.0
sub-0409,0.5994441,2.4878235294117643,0.02321906745534763,0.18050219002663914,normal,0.0
sub-0373,1.2722698,2.3041470588235295,-0.08778811502146322,-0.6824540671221014,normal,1.0
sub-0014,0.75722253,2.6157352941176466,0.16817186699006914,1.3073475216415151,normal,0.0
sub-0416,0.5906014,2.6175000000000006,0.15194047239436337,1.181166645628915,normal,0.0
sub-0378,1.0503665,2.4127058823529417,-0.003196204231227906,-0.024846900704279962,normal,1.0
sub-0437,1.4180683,2.677132352941176,0.3009443082601164,2.339504238120972,resistant,0.0
sub-0165,1.2796385,2.458367647058824,0.06722833785352433,0.5226248744807821,normal,1.0
sub-0202,1.2157435,2.50975,0.11170964024939645,0.8684170779416864,normal,0.0
sub-0181,0.40740827,2.4887499999999996,0.003404494623293619,0.026466124732193754,normal,0.0
sub-0142,0.3227935,2.402691176470588,-0.09179324125683808,-0.7135894285317951,normal,2.0
sub-0072,0.6978849,2.4733088235294116,0.019336569672535386,0.15032012720611998,normal,2.0
sub-0204,1.2261347,2.509985294117647,0.11306724748115826,0.8789709504863208,normal,1.0
sub-0345,0.53259057,2.4902499999999996,0.01842494817486129,0.14323329320118064,normal,2.0
sub-0192,0.4479638,2.504529411764706,0.023564151515500065,0.183184831296388,normal,0.0
sub-0161,0.5515737,2.4095441176470596,-0.06023064010752455,-0.4682256282265317,normal,2.0
sub-0183,0.7862491,2.4725441176470584,0.028115737498537463,0.2185683039363961,normal,0.0
sub-0164,0.5407247,2.221985294117647,-0.24896122194926207,-1.9353940841926334,normal,2.0
sub-0286,0.46954334,2.260573529411764,-0.21806100861685485,-1.6951796057465913,normal,2.0
sub-0017,0.33053902,2.456264705882352,-0.03738314834214451,-0.2906120221591249,normal,0.0
sub-0157,0.92893,2.2772058823529413,-0.15181208848734862,-1.1801686048408866,normal,2.0
sub-0233,0.6041128,2.269823529411765,-0.19427668440816426,-1.5102831788669036,normal,2.0
sub-0053,1.2303855,2.2382058823529407,-0.15825305190139005,-1.2302398665033856,normal,1.0
sub-0011,1.7277666,2.368794117647059,0.02605538233441118,0.20255135493219167,normal,1.0
sub-0246,0.82296354,2.5093970588235295,0.06893406260461976,0.5358849700357591,normal,0.0
sub-0212,0.56605524,2.4066470588235296,-0.061563604095561164,-0.4785879272090361,normal,2.0
